# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.facet.change.listener.process.change.events.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1778353275078000000,1778353335016000000,0
jps.modifiable.module.model.bridge.new.module.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1778353275078000000,1778353335016000000,0
jps.global.get.libraries.ms,1778353275078000000,1778353335016000000,0
jps.global.initialize.library.bridges.after.loading.ms,1778353275078000000,1778353335016000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1778353275078000000,1778353335016000000,0
jps.facet.change.listener.before.change.events.ms,1778353275078000000,1778353335016000000,0
jps.global.handle.changed.events.ms,1778353275078000000,1778353335016000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1778353275078000000,1778353335016000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1778353275078000000,1778353335016000000,0
jps.project.serializers.save.ms,1778353275078000000,1778353335016000000,1
workspaceModel.load.cache.metadata.from.file.ms,1778353275078000000,1778353335016000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.entities.ms,1778353275078000000,1778353335016000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1778353275078000000,1778353335016000000,2
jps.storage.jps.conf.reader.load.component.ms,1778353275078000000,1778353335016000000,1
jps.app.storage.content.writer.save.component.ms,1778353275078000000,1778353335016000000,0
jps.modifiable.module.model.bridge.load.module.ms,1778353275078000000,1778353335016000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1778353275078000000,1778353335016000000,0
jps.app.storage.content.reader.load.component.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1778353275078000000,1778353335016000000,8
workspaceModel.moduleManagerBridge.create.module.instance.ms,1778353275078000000,1778353335016000000,0
workspaceModel.orphan.listener.update.ms,1778353275078000000,1778353335016000000,1
workspaceModel.global.apply.state.to.project.ms,1778353275078000000,1778353335016000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1778353275078000000,1778353335016000000,0
jps.global.initialize.library.bridges.ms,1778353275078000000,1778353335016000000,1
jps.apply.loaded.storage.ms,1778353275078000000,1778353335016000000,11
workspaceModel.global.updates.count,1778353275078000000,1778353335016000000,3
workspaceModel.moduleBridge.before.changed.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1778353275078000000,1778353335016000000,0
jps.save.global.entities.ms,1778353275078000000,1778353335016000000,2
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1778353275078000000,1778353335016000000,0
jps.module.iml.entities.serializer.load.entities.ms,1778353275078000000,1778353335016000000,1
